Actual,Predicted,Error,AbsError,Risk
23.6,22.82449999999999,0.7755000000000116,0.7755000000000116,Low
32.4,30.820500000000035,1.579499999999964,1.579499999999964,Low
13.6,16.821499999999993,-3.2214999999999936,3.2214999999999936,Medium
22.8,23.532499999999974,-0.7324999999999733,0.7324999999999733,Low
16.1,16.845499999999987,-0.7454999999999856,0.7454999999999856,Low
20.0,21.14199999999999,-1.1419999999999888,1.1419999999999888,Low
17.8,19.493499999999987,-1.693499999999986,1.693499999999986,Low
14.0,15.696000000000012,-1.6960000000000122,1.6960000000000122,Low
19.6,21.1475,-1.5474999999999994,1.5474999999999994,Low
16.8,21.010499999999983,-4.210499999999982,4.210499999999982,Medium
21.5,20.231499999999997,1.268500000000003,1.268500000000003,Low
18.9,19.40099999999999,-0.5009999999999906,0.5009999999999906,Low
7.0,8.495999999999988,-1.495999999999988,1.495999999999988,Low
21.2,21.408999999999992,-0.20899999999999253,0.20899999999999253,Low
18.5,19.368999999999975,-0.8689999999999749,0.8689999999999749,Low
29.8,26.135999999999996,3.664000000000005,3.664000000000005,Medium
18.8,19.327500000000008,-0.527500000000007,0.527500000000007,Low
10.2,8.453000000000008,1.746999999999991,1.746999999999991,Low
50.0,45.916500000000006,4.083499999999994,4.083499999999994,Medium
14.1,14.715999999999985,-0.6159999999999854,0.6159999999999854,Low
25.2,24.707499999999982,0.4925000000000175,0.4925000000000175,Low
29.1,23.818499999999993,5.281500000000008,5.281500000000008,High
12.7,14.521999999999975,-1.821999999999976,1.821999999999976,Low
22.4,23.8015,-1.4015000000000022,1.4015000000000022,Low
14.2,14.797000000000008,-0.5970000000000084,0.5970000000000084,Low
13.8,14.986499999999984,-1.1864999999999828,1.1864999999999828,Low
20.3,21.241999999999997,-0.9419999999999966,0.9419999999999966,Low
14.9,13.613999999999999,1.2860000000000014,1.2860000000000014,Low
21.7,19.40500000000001,2.294999999999991,2.294999999999991,Medium
18.3,21.23800000000001,-2.9380000000000095,2.9380000000000095,Medium
23.1,19.835500000000014,3.2644999999999875,3.2644999999999875,Medium
23.8,23.26699999999999,0.5330000000000119,0.5330000000000119,Low
15.0,31.5075,-16.5075,16.5075,High
20.8,20.408500000000007,0.3914999999999935,0.3914999999999935,Low
19.1,14.537000000000003,4.562999999999999,4.562999999999999,Medium
19.4,15.97749999999998,3.422500000000019,3.422500000000019,Medium
34.7,34.02399999999996,0.6760000000000446,0.6760000000000446,Low
19.5,19.294999999999987,0.2050000000000125,0.2050000000000125,Low
24.4,20.989000000000015,3.4109999999999836,3.4109999999999836,Medium
23.4,24.167999999999992,-0.7679999999999936,0.7679999999999936,Low
19.7,19.314999999999994,0.3850000000000051,0.3850000000000051,Low
28.2,29.53199999999997,-1.3319999999999723,1.3319999999999723,Low
50.0,45.951499999999996,4.048500000000004,4.048500000000004,Medium
17.4,19.260499999999972,-1.8604999999999734,1.8604999999999734,Low
22.6,22.503999999999987,0.0960000000000143,0.0960000000000143,Low
15.1,13.842999999999991,1.2570000000000086,1.2570000000000086,Low
13.1,15.239999999999995,-2.1399999999999952,2.1399999999999952,Medium
24.2,24.243999999999986,-0.04399999999998627,0.04399999999998627,Low
19.9,18.59949999999999,1.3005000000000102,1.3005000000000102,Low
24.0,28.584500000000016,-4.584500000000016,4.584500000000016,Medium
18.9,20.889499999999998,-1.9894999999999996,1.9894999999999996,Low
35.4,34.03350000000001,1.3664999999999878,1.3664999999999878,Low
15.2,16.726999999999983,-1.5269999999999833,1.5269999999999833,Low
26.5,26.3055,0.19450000000000145,0.19450000000000145,Low
43.5,44.914500000000054,-1.4145000000000536,1.4145000000000536,Low
21.2,21.797499999999985,-0.5974999999999859,0.5974999999999859,Low
18.4,15.535500000000004,2.8644999999999943,2.8644999999999943,Medium
28.5,32.25350000000002,-3.7535000000000167,3.7535000000000167,Medium
23.9,22.47299999999999,1.4270000000000103,1.4270000000000103,Low
18.5,20.586499999999997,-2.0864999999999974,2.0864999999999974,Medium
25.0,25.50149999999998,-0.5014999999999787,0.5014999999999787,Low
35.4,33.95949999999998,1.4405000000000214,1.4405000000000214,Low
31.5,28.659000000000045,2.840999999999955,2.840999999999955,Medium
20.2,18.69399999999997,1.5060000000000286,1.5060000000000286,Low
24.1,26.566,-2.4659999999999975,2.4659999999999975,Medium
20.0,17.39250000000002,2.6074999999999804,2.6074999999999804,Medium
13.1,14.152000000000003,-1.0520000000000032,1.0520000000000032,Low
24.8,23.087999999999994,1.7120000000000068,1.7120000000000068,Low
30.8,28.308499999999984,2.4915000000000163,2.4915000000000163,Medium
12.7,15.660499999999999,-2.9604999999999997,2.9604999999999997,Medium
20.0,20.930500000000002,-0.9305000000000021,0.9305000000000021,Low
23.7,27.568999999999996,-3.868999999999996,3.868999999999996,Medium
10.8,10.084000000000001,0.7159999999999993,0.7159999999999993,Low
20.6,21.53999999999998,-0.93999999999998,0.93999999999998,Low
20.8,21.949999999999985,-1.1499999999999844,1.1499999999999844,Low
5.0,7.147,-2.1470000000000002,2.1470000000000002,Medium
20.1,19.955500000000015,0.14449999999998653,0.14449999999998653,Low
48.5,46.212499999999984,2.2875000000000156,2.2875000000000156,Medium
10.9,10.9985,-0.09849999999999959,0.09849999999999959,Low
7.0,12.949499999999984,-5.9494999999999845,5.9494999999999845,High
20.9,21.028999999999996,-0.12899999999999778,0.12899999999999778,Low
17.2,12.976499999999998,4.223500000000001,4.223500000000001,Medium
20.9,19.991000000000003,0.9089999999999954,0.9089999999999954,Low
9.7,9.464500000000001,0.23549999999999827,0.23549999999999827,Low
19.4,20.601999999999993,-1.2019999999999946,1.2019999999999946,Low
29.0,27.118000000000016,1.8819999999999837,1.8819999999999837,Low
16.4,15.3315,1.0684999999999985,1.0684999999999985,Low
25.0,23.317999999999998,1.6820000000000022,1.6820000000000022,Low
25.0,23.468999999999983,1.5310000000000166,1.5310000000000166,Low
17.1,17.769500000000004,-0.6695000000000029,0.6695000000000029,Low
23.2,21.577999999999975,1.6220000000000248,1.6220000000000248,Low
10.4,8.119499999999997,2.2805000000000035,2.2805000000000035,Medium
19.6,19.60149999999998,-0.0014999999999787406,0.0014999999999787406,Low
17.2,18.880999999999986,-1.6809999999999867,1.6809999999999867,Low
27.5,23.512500000000017,3.987499999999983,3.987499999999983,Medium
23.0,19.68699999999998,3.31300000000002,3.31300000000002,Medium
50.0,41.03949999999996,8.960500000000039,8.960500000000039,High
17.9,12.860000000000005,5.039999999999994,5.039999999999994,High
9.6,12.547500000000003,-2.9475000000000033,2.9475000000000033,Medium
17.2,13.065499999999995,4.1345000000000045,4.1345000000000045,Medium
22.5,20.51699999999999,1.9830000000000112,1.9830000000000112,Low
21.4,23.828499999999995,-2.428499999999996,2.428499999999996,Medium
